DP,DPNOM,Código Municipio,MPIO,AÑO,ÁREA GEOGRÁFICA,Pobl
05,Antioquia,05001,Medellín,2022,Total,"2,612,958"
05,Antioquia,05002,Abejorral,2022,Total,"20,920"
05,Antioquia,05004,Abriaquí,2022,Total,"2,820"
05,Antioquia,05021,Alejandría,2022,Total,"4,845"
05,Antioquia,05030,Amagá,2022,Total,"32,259"
05,Antioquia,05031,Amalfi,2022,Total,"27,921"
05,Antioquia,05034,Andes,2022,Total,"45,577"
05,Antioquia,05036,Angelópolis,2022,Total,"6,023"
05,Antioquia,05038,Angostura,2022,Total,"11,896"
05,Antioquia,05040,Anorí,2022,Total,"19,704"
05,Antioquia,05042,Santafé de Antioquia,2022,Total,"27,844"
05,Antioquia,05044,Anzá,2022,Total,"7,393"
05,Antioquia,05045,Apartadó,2022,Total,"131,754"
05,Antioquia,05051,Arboletes,2022,Total,"31,462"
05,Antioquia,05055,Argelia,2022,Total,"7,780"
05,Antioquia,05059,Armenia,2022,Total,"5,232"
05,Antioquia,05079,Barbosa,2022,Total,"56,053"
05,Antioquia,05086,Belmira,2022,Total,"6,307"
05,Antioquia,05088,Bello,2022,Total,"569,488"
05,Antioquia,05091,Betania,2022,Total,"10,605"
05,Antioquia,05093,Betulia,2022,Total,"16,392"
05,Antioquia,05101,Ciudad Bolívar,2022,Total,"27,134"
05,Antioquia,05107,Briceño,2022,Total,"8,373"
05,Antioquia,05113,Buriticá,2022,Total,"9,934"
05,Antioquia,05120,Cáceres,2022,Total,"31,309"
05,Antioquia,05125,Caicedo,2022,Total,"8,802"
05,Antioquia,05129,Caldas,2022,Total,"86,042"
05,Antioquia,05134,Campamento,2022,Total,"9,531"
05,Antioquia,05138,Cañasgordas,2022,Total,"16,037"
05,Antioquia,05142,Caracolí,2022,Total,"4,673"
05,Antioquia,05145,Caramanta,2022,Total,"4,793"
05,Antioquia,05147,Carepa,2022,Total,"52,749"
05,Antioquia,05148,El Carmen de Viboral,2022,Total,"64,546"
05,Antioquia,05150,Carolina,2022,Total,"4,096"
05,Antioquia,05154,Caucasia,2022,Total,"98,423"
05,Antioquia,05172,Chigorodó,2022,Total,"61,714"
05,Antioquia,05190,Cisneros,2022,Total,"10,246"
05,Antioquia,05197,Cocorná,2022,Total,"15,296"
05,Antioquia,05206,Concepción,2022,Total,"4,906"
05,Antioquia,05209,Concordia,2022,Total,"22,364"
05,Antioquia,05212,Copacabana,2022,Total,"84,389"
05,Antioquia,05234,Dabeiba,2022,Total,"24,242"
05,Antioquia,05237,Donmatías,2022,Total,"20,328"
05,Antioquia,05240,Ebéjico,2022,Total,"12,512"
05,Antioquia,05250,El Bagre,2022,Total,"55,525"
05,Antioquia,05264,Entrerríos,2022,Total,"12,096"
05,Antioquia,05266,Envigado,2022,Total,"249,800"
05,Antioquia,05282,Fredonia,2022,Total,"25,526"
05,Antioquia,05284,Frontino,2022,Total,"21,346"
